shard_id,dataset,subset,kind,priority,reasoning_effort,expected_claim_boundary,task_count,ready_count,start_index,end_index,output_dir,manifest_path,notes
fdv1_public_context_v1_012,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,1101,1200,runs/final_discovery_run_v1/fdv1_public_context_v1_012,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_013,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,1201,1300,runs/final_discovery_run_v1/fdv1_public_context_v1_013,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_014,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,56,56,1301,1356,runs/final_discovery_run_v1/fdv1_public_context_v1_014,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_context_second_pass_001,algorithm_wiki_second_pass,recovered_context_second_pass,recovered_context,medium,medium,whole_algorithm_discovery,100,100,1,100,runs/final_discovery_run_v1/fdv1_recovered_context_second_pass_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_context_second_pass_002,algorithm_wiki_second_pass,recovered_context_second_pass,recovered_context,medium,medium,whole_algorithm_discovery,69,69,101,169,runs/final_discovery_run_v1/fdv1_recovered_context_second_pass_002,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_probe_second_pass_001,algorithm_wiki_second_pass,recovered_probe_second_pass,recovered_probe,medium,high,query_or_subroutine_hypothesis,21,21,1,21,runs/final_discovery_run_v1/fdv1_recovered_probe_second_pass_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_context_third_pass_001,algorithm_wiki_third_pass,recovered_context_third_pass,recovered_context,medium,medium,whole_algorithm_discovery,100,100,1,100,runs/final_discovery_run_v1/fdv1_recovered_context_third_pass_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_context_third_pass_002,algorithm_wiki_third_pass,recovered_context_third_pass,recovered_context,medium,medium,whole_algorithm_discovery,42,42,101,142,runs/final_discovery_run_v1/fdv1_recovered_context_third_pass_002,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_probe_third_pass_001,algorithm_wiki_third_pass,recovered_probe_third_pass,recovered_probe,medium,high,query_or_subroutine_hypothesis,50,50,1,50,runs/final_discovery_run_v1/fdv1_recovered_probe_third_pass_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_probe_third_pass_002,algorithm_wiki_third_pass,recovered_probe_third_pass,recovered_probe,medium,high,query_or_subroutine_hypothesis,50,50,51,100,runs/final_discovery_run_v1/fdv1_recovered_probe_third_pass_002,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_probe_third_pass_003,algorithm_wiki_third_pass,recovered_probe_third_pass,recovered_probe,medium,high,query_or_subroutine_hypothesis,50,50,101,150,runs/final_discovery_run_v1/fdv1_recovered_probe_third_pass_003,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_recovered_probe_third_pass_004,algorithm_wiki_third_pass,recovered_probe_third_pass,recovered_probe,medium,high,query_or_subroutine_hypothesis,49,49,151,199,runs/final_discovery_run_v1/fdv1_recovered_probe_third_pass_004,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_paperbench10_001,paperbench,paperbench10,benchmark,benchmark,high,benchmark_fixture_self_test,10,10,1,10,runs/final_discovery_run_v1/fdv1_paperbench10_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
